,coma,puntos,parentesis,word_count,letras,charbyword,concre_media,cant_abstractas
4154,0,1,0,5,21,4.2,1.316,1
6812,0,1,0,10,35,3.5,1.6060000000000003,4
528,0,0,0,7,25,3.5714285714285716,2.1,2
2534,0,0,0,10,52,5.2,1.9009999999999998,2
682,0,0,0,7,22,3.142857142857143,2.951428571428572,3
4128,1,0,0,19,78,4.105263157894737,1.67,7
4609,0,0,0,4,18,4.5,1.455,1
5408,0,1,0,8,28,3.5,3.00875,2
2449,0,1,0,3,13,4.333333333333333,0.53,1
3579,0,1,0,6,24,4.0,1.6783333333333335,2
1945,2,1,0,11,53,4.818181818181818,1.6818181818181819,4
4754,0,1,0,20,91,4.55,2.2525000000000004,7
5512,0,1,0,3,14,4.666666666666667,2.8333333333333335,0
2134,0,0,0,10,43,4.3,2.027,5
4248,0,2,0,11,44,4.0,1.6863636363636365,4
6533,0,1,0,3,16,5.333333333333333,1.3333333333333333,0
6211,0,1,0,7,24,3.4285714285714284,1.6114285714285714,3
259,0,1,0,6,23,3.8333333333333335,2.7016666666666667,0
940,0,1,0,9,34,3.7777777777777777,1.8888888888888888,4
4567,0,1,0,3,13,4.333333333333333,0.53,1
2293,0,1,0,8,38,4.75,2.26125,2
6917,0,1,0,6,19,3.1666666666666665,2.1649999999999996,3
5565,0,1,0,8,42,5.25,1.7675,4
1315,0,1,0,7,17,2.4285714285714284,1.772857142857143,2
6235,0,1,0,9,34,3.7777777777777777,0.3655555555555556,2
5102,0,1,0,4,7,1.75,1.8375000000000001,2
2142,0,1,0,4,15,3.75,1.6225,1
2053,0,0,0,11,61,5.545454545454546,1.7245454545454544,4
2553,0,1,0,4,17,4.25,2.37,1
4253,0,1,0,6,22,3.6666666666666665,2.39,3
496,0,1,0,6,21,3.5,2.105,2
7068,0,1,0,5,26,5.2,2.372,1
4277,0,1,0,10,49,4.9,1.629,4
417,0,1,0,5,21,4.2,1.9240000000000002,3
183,0,1,0,4,16,4.0,1.9325,2
3545,0,1,0,7,33,4.714285714285714,1.0914285714285714,3
6482,0,0,0,4,15,3.75,1.05,2
4394,0,1,0,9,49,5.444444444444445,1.7855555555555556,3
6790,0,1,0,7,31,4.428571428571429,1.364285714285714,3
